season,week,celebrity_name,vote_mean,vote_std,vote_CI_lower,vote_CI_upper,judge_rank,judge_score,is_eliminated,consistency
1,1,John O'Hurley,0.14462094599288552,0.0652545584941808,0.04297190407886029,0.29370265424163394,1.0,20.0,False,1.0
1,1,Kelly Monaco,0.24709169648075635,0.08072839649301014,0.10825615340789188,0.420769711975494,6.0,13.0,False,1.0
1,1,Evander Holyfield,0.13692472599296968,0.06378543467627185,0.03855085688603019,0.284217720384502,4.0,18.0,False,1.0
1,1,Rachel Hunter,0.18494750752411335,0.07208276239654088,0.06730533673499063,0.3450304230648926,1.0,20.0,False,1.0
1,1,Joey McIntyre,0.14725614461580558,0.066078898376546,0.04418886456959643,0.29849308878541664,1.0,20.0,False,1.0
1,1,Trista Sutter,0.1391589793934701,0.06439163963444466,0.039769064149492696,0.287732628205315,4.0,18.0,False,1.0
1,2,John O'Hurley,0.1466231107655812,0.05883988638818173,0.05795191176512277,0.29165537576247746,1.0,26.0,False,0.05
1,2,Kelly Monaco,0.25213098980063703,0.0754886339716962,0.13447661221989943,0.4190050303886329,5.0,17.0,False,0.05
1,2,Evander Holyfield,0.20010961002414188,0.046436374468507534,0.12631761301517294,0.3095711577935527,6.0,14.0,False,0.05
1,2,Rachel Hunter,0.1757264265808752,0.06776925596838776,0.07451001840365129,0.33571911070601884,2.0,24.0,False,0.05
1,2,Joey McIntyre,0.14607676203923411,0.051447575487664196,0.06974732843786405,0.2759173434137428,3.0,21.0,False,0.05
1,2,Trista Sutter,0.0793331007895318,0.028333973450715276,0.02819097709300343,0.13654212686484965,4.0,19.0,True,0.05
1,3,John O'Hurley,0.17589427027502993,0.0738599217017275,0.057167475628413705,0.3404126990497778,2.0,24.0,False,0.05
1,3,Kelly Monaco,0.30957854887292996,0.08473920543951607,0.1633072673633466,0.4899947626387671,4.0,21.0,False,0.05
1,3,Evander Holyfield,0.11355844555662013,0.04952099387407088,0.03027157361083326,0.21545176355209977,5.0,13.0,True,0.05
1,3,Rachel Hunter,0.2294091630820762,0.08212915707390255,0.08889540529869806,0.4069540587063067,1.0,26.0,False,0.05
1,3,Joey McIntyre,0.17155957221333767,0.07339472380795271,0.05419900385171669,0.33642143387091317,3.0,22.0,False,0.05
1,4,John O'Hurley,0.30571828931640926,0.05463378803155453,0.22257007245309102,0.43873636234762714,3.0,21.0,False,0.0107395
