season,week,celebrity_name,vote_mean,prior_mean,vote_std,vote_CI_lower,vote_CI_upper,consistency_acceptance,consistency_kl,is_eliminated
1,1,John O'Hurley,0.14019993710363368,0.14097751804664094,0.0884381647252969,0.018141001363789405,0.34978192814003356,0.9999999999999998,7.044855485469558e-05,False
1,1,Kelly Monaco,0.29653258093434043,0.2929533009114903,0.1185940971005072,0.09818341616742705,0.5592777724689967,0.9999999999999998,7.044855485469558e-05,False
1,1,Evander Holyfield,0.1384495817483218,0.13759591991877954,0.08853769388764567,0.0197306572010027,0.35252701481952753,0.9999999999999998,7.044855485469558e-05,False
1,1,Rachel Hunter,0.14656179002168604,0.14987114239745933,0.0914321547571075,0.02131383171777513,0.3594803812537745,0.9999999999999998,7.044855485469558e-05,False
1,1,Joey McIntyre,0.1398463095047222,0.14099803269408548,0.08827541934174994,0.01999372061292416,0.35357905100877457,0.9999999999999998,7.044855485469558e-05,False
1,1,Trista Sutter,0.13840980068729675,0.13760408603154434,0.091976354230569,0.017136186637171986,0.36934705580668087,0.9999999999999998,7.044855485469558e-05,False
1,2,John O'Hurley,0.14625298498463327,0.14479201237675404,0.08610923126901815,0.022715448117674883,0.354619434498357,0.4502339759536668,0.02281857772294204,False
1,2,Kelly Monaco,0.30443304245554936,0.2967647062025103,0.11253604987867975,0.1214371072365215,0.5412812073448008,0.4502339759536668,0.02281857772294204,False
1,2,Evander Holyfield,0.16914804904199987,0.1314772717630867,0.1019192590617993,0.022552085938601633,0.4137611860122311,0.4502339759536668,0.02281857772294204,False
1,2,Rachel Hunter,0.1508020743428048,0.15079467158364274,0.09000913443772536,0.02369958709448829,0.37407991260378626,0.4502339759536668,0.02281857772294204,False
1,2,Joey McIntyre,0.1547418333676028,0.13937170006504218,0.08685337464331983,0.02712460284902411,0.3642879739908519,0.4502339759536668,0.02281857772294204,False
1,2,Trista Sutter,0.07462201580741028,0.13679963800896414,0.048324720307212056,0.009862792906020797,0.18895743214853525,0.4502339759536668,0.02281857772294204,True
1,3,John O'Hurley,0.1695284192590659,0.1640796785160107,0.10116431213029314,0.023612276906114317,0.3992222445116744,0.8671428585966969,0.004104096252694063,False
1,3,Kelly Monaco,0.35877019869301296,0.33965177012667447,0.12399588877295775,0.1410277504708412,0.6172134741876972,0.8671428585966969,0.004104096252694063,False
1,3,Evander Holyfield,0.12539915140450184,0.1568623033980666,0.07237446756189034,0.01938111934026845,0.29448687436757814,0.8671428585966969,0.004104096252694063,True
1,3,Rachel Hunter,0.17661135964825386,0.17518479550444538,0.10837239548874719,0.024032084175256326,0.43179338714068133,0.8671428585966969,0.004104096252694063,False
1,3,Joey McIntyre,0.16969087099516614,0.1642214524548029,0.09890101235653397,0.022446620439339697,0.39042808405270435,0.8671428585966969,0.004104096252694063,False
1,4,John O'Hurley,0.2225256833951398,0.1911132397471721,0.1238374841963228,0.031919532581251284,0.5010310853279466,0.6227127298744672,0.011392003144646081,False
1,4,Kelly Monaco,0.4018248989807892,0.4108910995481331,0.13245759377554148,0.18530754677589606,0.6746827930067356,0.6227127298744672,0.011392003144646081,False
1,4,Rachel Hunter,0.1576873659321083,0.20858978258738958,0.09280067598367932,0.03397448103518326,0.38840077208157403,0.6227127298744672,0.011392003144646081,True
1,4,Joey McIntyre,0.21796205169196223,0.1894058781173053,0.11763100357861236,0.034357933569444964,0.46968431328835314,0.6227127298744672,0.011392003144646081,False
1,5,John O'Hurley,0.26196033790433526,0.2625281552211497,0.13903137810675528,0.045121778384899246,0.5620070669822494,0.9999999999999998,0.00012205618960748222,False
1,5,Kelly Monaco,0.49513321024905194,0.4884443768940871,0.15686894780479424,0.20321948268017878,0.7997501691132701,0.9999999999999998,0.00012205618960748222,False
1,5,Joey McIntyre,0.242906451846611,0.24902746788476324,0.13500427086352798,0.04399702390439256,0.5550861326010954,0.9999999999999998,0.00012205618960748222,False
1,6,John O'Hurley,0.34653282308746536,0.35095454076978505,0.16219530278515623,0.07812060470101645,0.6919434310477316,0.9999999999999998,4.300031568421365e-05,False
1,6,Kelly Monaco,0.6534671769125336,0.649045459230215,0.16219530278515626,0.3080565689522685,0.9218793952989837,0.9999999999999998,4.300031568421365e-05,False
2,1,Tatum O'Neal,0.09827389396552362,0.10158968639666903,0.06613842198914667,0.012679273058585632,0.26687589596745315,0.43343639487890706,0.01967404676700972,False
2,1,Tia Carrere,0.10238340080376673,0.09936108782300959,0.06952908837305569,0.009727666651200464,0.27624514014829193,0.43343639487890706,0.01967404676700972,False
2,1,George Hamilton,0.10996816581659498,0.09795729196149244,0.06931535413333868,0.012850738783545501,0.27438780787203626,0.43343639487890706,0.01967404676700972,False
2,1,Lisa Rinna,0.10870898334200821,0.09922438936161106,0.06740816055126492,0.014494304029487875,0.2641496399695772,0.43343639487890706,0.01967404676700972,False
2,1,Stacy Keibler,0.11200363595764667,0.11013785254044851,0.07549516912708348,0.013200172763130763,0.28650329773355687,0.43343639487890706,0.01967404676700972,False
2,1,Jerry Rice,0.10649901151171776,0.1002027772500154,0.07455501243250813,0.012021366152815804,0.28921468622849916,0.43343639487890706,0.01967404676700972,False
