season,week,celebrity_name,vote_mean,vote_std,vote_CI_lower,vote_CI_upper,consistency_score,relative_uncertainty,is_eliminated
1,1,John O'Hurley,0.07526857920813175,0.03269384128846278,0.02399771805541721,0.14974500484840422,1.0,0.9167090429115121,False
1,1,Kelly Monaco,0.5419685905947289,0.06241793585384834,0.4223377585957517,0.6666653716063755,1.0,0.9167090429115121,False
1,1,Evander Holyfield,0.06955125115569356,0.03139330877157956,0.02198198049873116,0.1428536984377814,1.0,0.9167090429115121,False
1,1,Rachel Hunter,0.16445367083448265,0.045578406851087355,0.08587651270209111,0.2620414038586031,1.0,0.9167090429115121,False
1,1,Joey McIntyre,0.0775071652491299,0.03227518640812033,0.026627855930693677,0.1526700810010167,1.0,0.9167090429115121,False
1,1,Trista Sutter,0.07125074295783367,0.03142419635054699,0.022927156234965152,0.14648246517698174,1.0,0.9167090429115121,False
1,2,John O'Hurley,0.06965760142762638,0.022621991129690693,0.03131096631921402,0.12457626257145693,0.07516268481021203,0.8073913993273327,False
1,2,Kelly Monaco,0.5546590891815639,0.061413251563472486,0.433099657249686,0.6819476858496734,0.07516268481021203,0.8073913993273327,False
1,2,Evander Holyfield,0.10260167951276188,0.02817340686318731,0.04658606368642904,0.16922956193758573,0.07516268481021203,0.8073913993273327,False
1,2,Rachel Hunter,0.1668092795547447,0.04465353588844332,0.09096415138555654,0.26227421186264077,0.07516268481021203,0.8073913993273327,False
1,2,Joey McIntyre,0.07177417971909249,0.023681850855834366,0.036601553982755754,0.13084023934883465,0.07516268481021203,0.8073913993273327,False
1,2,Trista Sutter,0.03449817060420947,0.02099920054530748,0.00010939495987916789,0.07719522534066074,0.07516268481021203,0.8073913993273327,True
1,3,John O'Hurley,0.08884920351564972,0.03314411937981399,0.03582788884426007,0.16513097362932386,0.9924363031075312,0.7720628757913403,False
1,3,Kelly Monaco,0.5834172582675603,0.05846784458334785,0.4700913427916081,0.6993108921152765,0.9924363031075312,0.7720628757913403,False
1,3,Evander Holyfield,0.056177221826746296,0.03049165064205826,0.00064005123127922,0.12086014876114702,0.9924363031075312,0.7720628757913403,True
1,3,Rachel Hunter,0.18618444629168696,0.044089509623871224,0.10844756021456073,0.27638764325541987,0.9924363031075312,0.7720628757913403,False
1,3,Joey McIntyre,0.08537187009835716,0.03210388229272115,0.033588464582779524,0.1589685256946609,0.9924363031075312,0.7720628757913403,False
1,4,John O'Hurley,0.10989024121536752,0.032518370143556026,0.056344065404255975,0.17455541954833922,0.11572437380408376,0.7067782239340983,False
1,4,Kelly Monaco,0.7414776424229171,0.06372715392604456,0.5779412973987016,0.8415514397725374,0.11572437380408376,0.7067782239340983,False
1,4,Rachel Hunter,0.036768773929968884,0.04643943998784983,0.0033698396163804782,0.19779241387835572,0.11572437380408376,0.7067782239340983,True
