season,week,celebrity_name,vote_mean,prior_mean,vote_std,vote_CI_lower,vote_CI_upper,consistency_acceptance,consistency_mse,consistency_kl,is_eliminated
1,1,John O'Hurley,0.14567646634280013,0.14097751804664094,0.12519422990062629,0.004139486635082006,0.4696580642625396,1.0,5.713433193601186e-06,0.00011126443787774835,False
1,1,Kelly Monaco,0.2907443869611943,0.2929533009114903,0.15924351950337265,0.049666945145008946,0.6411706135718267,1.0,5.713433193601186e-06,0.00011126443787774835,False
1,1,Evander Holyfield,0.1383992605830774,0.13759591991877954,0.11980417981926848,0.004433658422805741,0.45067532168719254,1.0,5.713433193601186e-06,0.00011126443787774835,False
1,1,Rachel Hunter,0.14810134860094967,0.14987114239745933,0.1266319608805675,0.006395204754375216,0.4767436987473523,1.0,5.713433193601186e-06,0.00011126443787774835,False
1,1,Joey McIntyre,0.13914468194932808,0.14099803269408548,0.11827644370162835,0.005120123570831077,0.42995684613596996,1.0,5.713433193601186e-06,0.00011126443787774835,False
1,1,Trista Sutter,0.13793385556265078,0.13760408603154434,0.12228188754500788,0.004062792513429154,0.4565706775438472,1.0,5.713433193601186e-06,0.00011126443787774835,False
1,2,John O'Hurley,0.13320141455823947,0.14676004463666278,0.11457839054320514,0.00764305012921426,0.45055835783341647,0.12578616352201258,0.004241248603704858,0.10115988442025962,False
1,2,Kelly Monaco,0.30706068231188605,0.2968641884602974,0.15276688171615463,0.08625388247477914,0.6533596821811235,0.12578616352201258,0.004241248603704858,0.10115988442025962,False
1,2,Evander Holyfield,0.24818957767760197,0.12848913891227173,0.1124615903835802,0.08667670575496383,0.5225749381129604,0.12578616352201258,0.004241248603704858,0.10115988442025962,False
1,2,Rachel Hunter,0.13528636655680903,0.15260876368162424,0.11084313135138008,0.00863666304117949,0.4289533864343994,0.12578616352201258,0.004241248603704858,0.10115988442025962,False
1,2,Joey McIntyre,0.1427138608234946,0.13916829601946507,0.10843927749877981,0.018007530579376888,0.4486904037059375,0.12578616352201258,0.004241248603704858,0.10115988442025962,False
1,2,Trista Sutter,0.03354809807196894,0.1361095682896788,0.02865805667503249,0.0011122478050878781,0.10378894309676898,0.12578616352201258,0.004241248603704858,0.10115988442025962,True
1,3,John O'Hurley,0.18014602719587203,0.1667595127453552,0.1408041225964749,0.00817846113864856,0.5212818609423443,0.2,0.0008820814186814168,0.01513114484956004,False
1,3,Kelly Monaco,0.37373809622946386,0.344391132435554,0.16349695479284215,0.09950524357914406,0.7137456677472075,0.2,0.0008820814186814168,0.01513114484956004,False
1,3,Evander Holyfield,0.08821276755248811,0.14534604511604113,0.07222585365995689,0.0020886935402563943,0.25678823924999983,0.2,0.0008820814186814168,0.01513114484956004,True
1,3,Rachel Hunter,0.18679507049660457,0.1806138771201706,0.1469128645524549,0.006291355847279418,0.5439922174137194,0.2,0.0008820814186814168,0.01513114484956004,False
1,3,Joey McIntyre,0.17110803852557216,0.16288943258287897,0.1383775923044744,0.00619298145437046,0.5194431076750456,0.2,0.0008820814186814168,0.01513114484956004,False
1,4,John O'Hurley,0.3734953193682594,0.18994110835029873,0.13197267371276242,0.167162513921626,0.6837595439511752,0.0362154821186057,0.03343706110245042,0.2672792335135097,False
1,4,Kelly Monaco,0.1839202140364374,0.4111843053416003,0.05917010804826624,0.06398568245939974,0.2846381448154779,0.0362154821186057,0.03343706110245042,0.2672792335135097,False
1,4,Rachel Hunter,0.07927876931843049,0.2114560530977039,0.05246823040492264,0.005475754993161885,0.1924592839939017,0.0362154821186057,0.03343706110245042,0.2672792335135097,True
1,4,Joey McIntyre,0.3633056972768737,0.18741853321039706,0.12834913998076813,0.16019018170018187,0.6743390407715196,0.0362154821186057,0.03343706110245042,0.2672792335135097,False
1,5,John O'Hurley,0.26415192182586467,0.261825702490933,0.1858964257684495,0.016625010634934562,0.6878402464896228,1.0,1.634919481511393e-05,8.827434801660528e-05,False
1,5,Kelly Monaco,0.49663853130279934,0.49327777979566934,0.21089396151675224,0.12139388320282334,0.8932963613744697,1.0,1.634919481511393e-05,8.827434801660528e-05,False
1,5,Joey McIntyre,0.2392095468713363,0.2448965177133976,0.1752282628722779,0.009700527289852831,0.6413474026401058,1.0,1.634919481511393e-05,8.827434801660528e-05,False
1,6,John O'Hurley,0.35844301588220195,0.35285963911959267,0.22056030147379463,0.020306004908558148,0.8134894564171816,1.0,3.11740960732543e-05,6.809794662294543e-05,False
1,6,Kelly Monaco,0.6415569841177964,0.6471403608804073,0.2205603014737945,0.18651054358281813,0.9796939950914418,1.0,3.11740960732543e-05,6.809794662294543e-05,False
2,1,Tatum O'Neal,0.10371498411698592,0.10158968639666903,0.09795917592796292,0.002118647291933236,0.36390126013565366,0.2,0.0007503166829846877,0.05288726790789032,False
2,1,Tia Carrere,0.09954159595080757,0.09936108782300959,0.09094470639040224,0.002185155838034633,0.3276816902743946,0.2,0.0007503166829846877,0.05288726790789032,False
2,1,George Hamilton,0.11919503561214438,0.09795729196149244,0.09575155571215288,0.009009504777509222,0.3608365110131125,0.2,0.0007503166829846877,0.05288726790789032,False
2,1,Lisa Rinna,0.10961954284195338,0.09922438936161106,0.09612085161520734,0.004021939293362363,0.35917227206239655,0.2,0.0007503166829846877,0.05288726790789032,False
2,1,Stacy Keibler,0.1062776968731605,0.11013785254044851,0.09530764596200764,0.003230401113606969,0.35641512203824804,0.2,0.0007503166829846877,0.05288726790789032,False
2,1,Jerry Rice,0.10467678758541886,0.1002027772500154,0.09732147837532404,0.0024850925241951803,0.3629469215787769,0.2,0.0007503166829846877,0.05288726790789032,False
2,1,Giselle Fernandez,0.10135267999210576,0.10159637655203198,0.09542618206445846,0.0020783945473654753,0.35241753689182437,0.2,0.0007503166829846877,0.05288726790789032,False
2,1,Master P,0.13044294143179613,0.09342986285970586,0.09071867703306061,0.019867146023855843,0.3712269408816774,0.2,0.0007503166829846877,0.05288726790789032,False
2,1,Drew Lachey,0.10536818457826261,0.10235641269645433,0.09838704108556741,0.0018314863423499594,0.3521834607274686,0.2,0.0007503166829846877,0.05288726790789032,False
2,1,Kenny Mayne,0.019810551017364564,0.09414426255856181,0.018520570339064946,0.0003423663835646689,0.06654230924596291,0.2,0.0007503166829846877,0.05288726790789032,True
2,2,Tatum O'Neal,0.030370953403937122,0.10573724180206975,0.02686400382726349,0.0003566188130300138,0.09772976944685777,0.2,0.0008025826750782265,0.04417420523596176,True
2,2,Tia Carrere,0.11594594640023279,0.1097071079954504,0.10792964876796551,0.0020576748247059175,0.4018622352009256,0.2,0.0008025826750782265,0.04417420523596176,False
2,2,George Hamilton,0.11325761547265856,0.10980023139576271,0.10576803001574071,0.0023449793798743512,0.40478908585449574,0.2,0.0008025826750782265,0.04417420523596176,False
2,2,Lisa Rinna,0.1282386713840288,0.10878524342206126,0.10694998582692763,0.005660140488876049,0.398061991638346,0.2,0.0008025826750782265,0.04417420523596176,False
2,2,Stacy Keibler,0.1296747806094683,0.12540187982188633,0.1089538525813178,0.004439150393078062,0.40958008225898634,0.2,0.0008025826750782265,0.04417420523596176,False
2,2,Jerry Rice,0.11275059772246956,0.11060611964455228,0.10580336519249547,0.0022011484586222504,0.4071519295157852,0.2,0.0008025826750782265,0.04417420523596176,False
2,2,Giselle Fernandez,0.11462616873963585,0.11129474393566373,0.10577317887912406,0.002684001788778112,0.3936309937423454,0.2,0.0008025826750782265,0.04417420523596176,False
2,2,Master P,0.13761496529595607,0.1049770929203442,0.09831502145342441,0.014937773946738224,0.3977569548272482,0.2,0.0008025826750782265,0.04417420523596176,False
2,2,Drew Lachey,0.11752030097161267,0.11369033906220927,0.10617670506014987,0.0029248507839869623,0.38865562401318315,0.2,0.0008025826750782265,0.04417420523596176,False
2,3,Tia Carrere,0.11828930940661081,0.12659711669164847,0.11037637731303279,0.0042762127704157075,0.40695890956933983,0.07466865783087549,0.002544337937835391,0.10195405846539332,False
